Player Name,Course Name,Year Played,Date Completed,Round Score,Round SG Total,Round SG App,Round SG Arg,Round SG Putt,Round Driving Distance,Round Driving Accuracy
"Westwood, Lee",Torrey Pines (South),2021,2021-06-20,77,-3.831,-3.83,-0.57,0.65,298.6,0.571
"Frittelli, Dylan",Torrey Pines (South),2021,2021-06-20,73,0.718,0.4,1.29,-2.2,316.8,0.571
"Frittelli, Dylan",Torrey Pines (South),2021,2021-06-20,72,1.787,0.03,-0.6,0.84,309.3,0.643
"Frittelli, Dylan",Torrey Pines (South),2021,2021-06-20,72,0.408,-2.29,-0.83,4.21,313.6,0.143
"Frittelli, Dylan",Torrey Pines (South),2021,2021-06-20,74,-0.831,-1.54,-1.4,2.56,316.7,0.286
"Hoge, Tom",Torrey Pines (South),2021,2021-06-20,72,1.718,-0.83,-0.64,2.36,294.5,0.786
"Hoge, Tom",Torrey Pines (South),2021,2021-06-20,71,2.787,2.54,0.22,-0.74,295.1,0.714
"Hoge, Tom",Torrey Pines (South),2021,2021-06-20,76,-3.592,-0.65,-0.14,-2.26,287.0,0.571
"Hoge, Tom",Torrey Pines (South),2021,2021-06-20,72,1.169,0.43,0.56,0.6,289.8,0.571
"Lamb, Rick",Torrey Pines (South),2021,2021-06-20,71,2.718,1.62,-0.37,1.84,293.4,0.5
"Lamb, Rick",Torrey Pines (South),2021,2021-06-20,75,-1.213,-1.93,-3.21,3.08,306.8,0.714
"Lamb, Rick",Torrey Pines (South),2021,2021-06-20,74,-1.592,-0.61,-1.85,1.15,300.5,0.5
"Lamb, Rick",Torrey Pines (South),2021,2021-06-20,71,2.169,0.23,-1.14,2.0,306.8,0.571
"Bland, Richard",Torrey Pines (South),2021,2021-06-20,70,3.718,1.14,0.78,1.99,290.4,0.643
"Bland, Richard",Torrey Pines (South),2021,2021-06-20,67,6.787,1.44,0.26,4.67,291.4,0.714
"Bland, Richard",Torrey Pines (South),2021,2021-06-20,77,-4.592,-3.45,-0.09,-1.25,290.0,0.714
"Bland, Richard",Torrey Pines (South),2021,2021-06-20,78,-4.831,-3.93,0.93,-2.93,294.7,0.786
"Watson, Bubba",Torrey Pines (South),2021,2021-06-20,72,1.718,1.25,0.25,-0.29,304.5,0.5
"Watson, Bubba",Torrey Pines (South),2021,2021-06-20,67,6.787,0.89,1.24,3.59,308.4,0.643
"Watson, Bubba",Torrey Pines (South),2021,2021-06-20,77,-4.592,-2.22,-0.81,-2.6,308.4,0.643
"Watson, Bubba",Torrey Pines (South),2021,2021-06-20,76,-2.831,-1.37,0.08,-0.98,303.1,0.357
"Cabrera Bello, Rafa",Torrey Pines (South),2021,2021-06-20,68,5.718,0.36,2.28,2.24,299.2,0.643
"Cabrera Bello, Rafa",Torrey Pines (South),2021,2021-06-20,76,-2.213,-1.99,-0.24,0.76,297.1,0.5
"Cabrera Bello, Rafa",Torrey Pines (South),2021,2021-06-20,74,-1.592,0.2,-0.54,-0.02,295.2,0.214
"Cabrera Bello, Rafa",Torrey Pines (South),2021,2021-06-20,74,-0.831,-0.19,-0.38,-1.1,298.2,0.786
"Fleetwood, Tommy",Torrey Pines (South),2021,2021-06-20,72,1.718,0.99,-0.54,1.78,299.5,0.357
"Fleetwood, Tommy",Torrey Pines (South),2021,2021-06-20,73,0.787,1.59,0.42,-0.2,303.2,0.214
"Fleetwood, Tommy",Torrey Pines (South),2021,2021-06-20,74,-1.592,-0.64,-1.31,-0.15,309.6,0.5
"Fleetwood, Tommy",Torrey Pines (South),2021,2021-06-20,73,0.169,-1.7,-0.51,2.41,303.0,0.429
"Woodland, Gary",Torrey Pines (South),2021,2021-06-20,74,-0.282,-1.03,-0.55,-1.13,315.5,0.786
"Woodland, Gary",Torrey Pines (South),2021,2021-06-20,71,2.787,1.49,-0.92,1.27,312.5,0.429
"Woodland, Gary",Torrey Pines (South),2021,2021-06-20,73,-0.592,-0.3,-0.93,-0.47,306.3,0.714
"Woodland, Gary",Torrey Pines (South),2021,2021-06-20,74,-0.831,-0.83,1.06,-1.15,313.2,0.429
"Kisner, Kevin",Torrey Pines (South),2021,2021-06-20,73,0.718,-0.79,-0.78,1.93,294.2,0.571
"Kisner, Kevin",Torrey Pines (South),2021,2021-06-20,73,0.787,-0.84,1.42,1.42,290.2,0.286
"Kisner, Kevin",Torrey Pines (South),2021,2021-06-20,72,0.408,0.45,0.22,-0.26,291.5,0.643
"Kisner, Kevin",Torrey Pines (South),2021,2021-06-20,75,-1.831,-1.41,-0.04,0.26,295.0,0.5
"Fitzpatrick, Matt",Torrey Pines (South),2021,2021-06-20,70,3.718,3.28,0.86,-0.94,310.8,0.5
"Fitzpatrick, Matt",Torrey Pines (South),2021,2021-06-20,75,-1.213,-0.49,-0.32,-1.94,310.7,0.786
"Fitzpatrick, Matt",Torrey Pines (South),2021,2021-06-20,72,0.408,-0.76,0.23,-0.02,305.7,0.643
"Fitzpatrick, Matt",Torrey Pines (South),2021,2021-06-20,76,-2.831,-0.78,-1.21,-0.34,300.9,0.357
"Cink, Stewart",Torrey Pines (South),2021,2021-06-20,73,0.718,1.67,-1.82,2.21,295.5,0.214
"Cink, Stewart",Torrey Pines (South),2021,2021-06-20,72,1.787,1.79,1.12,-1.89,311.4,0.5
"Cink, Stewart",Torrey Pines (South),2021,2021-06-20,74,-1.592,-2.82,-0.14,0.44,308.0,0.643
"Cink, Stewart",Torrey Pines (South),2021,2021-06-20,75,-1.831,-0.46,0.55,-1.04,305.7,0.286
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,72,1.718,-0.08,-0.36,1.89,307.7,0.429
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,71,2.787,0.37,-0.28,2.86,307.7,0.286
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,75,-2.592,-1.62,0.2,-2.22,312.9,0.571
"Hoffman, Charley",Torrey Pines (South),2021,2021-06-20,76,-2.831,-0.84,0.21,-2.25,310.8,0.429
